Продукт,Старая цена,Новая цена,Процент скидки,Время акции
"Чай AKBAR черный яблоко-шиповник-шалфей, 25пакетиков",136.99,79.99,-42%,С 2023-11-15 по 2023-12-12
"Лакомство для собак ТИТБИТ Классик гематоген мясной, 35г",49.99,42.99,-14%,С 2023-11-15 по 2023-12-12
"Чай черный ПРИНЦЕССА НУРИ, 100г",88.99,69.99,-21%,С 2023-11-15 по 2023-12-12
"Мёд МЕДОВЫЙ ДОМ цветочный восточная липа, 250г",209.99,139.99,-33%,С 2023-11-15 по 2023-12-12
"Икра кабачковая КУХМАСТЕР, 400г",89.99,64.99,-28%,С 2023-11-15 по 2023-12-12
"Варенье МЕДОВЫЙ ДОМ Абрикосовое, 300г",179.99,109.99,-39%,С 2023-11-15 по 2023-12-12
"Чай BETA TEA черный, цветущий апельсин, 90г",169.99,109.99,-35%,С 2023-11-15 по 2023-12-12
"Набор конфет Новогодний Сундук, 700г",449.99,299.99,-33%,С 2023-12-01 по 2024-01-09
"Новогодний подарок АЛЕНКА Фонарик, 350г",589.99,349.99,-41%,С 2023-12-01 по 2024-01-09
"Новогодний подарок БАРНИ Picnic/Oreo ассорти бисквитов, 370г",599.99,389.99,-35%,С 2023-12-01 по 2024-01-09
"Новогодний набор MILKA печенье/вафли, 142г",364.99,219.99,-40%,С 2023-12-01 по 2024-01-09
"Конфета KONFESTA с кокосовой начинкой, 150г",149.99,99.99,-33%,С 2023-12-01 по 2024-01-09
"Напиток кофейный NESCAFE® 3 в 1 Классический, 14,5г",17.9,11.4,,С 2023-11-29 по 2023-12-05
"Напиток кофейный NESCAFE® 3 в 1 Мягкий сливочный, 14,5г",17.9,11.4,,С 2023-11-29 по 2023-12-05
"Блинчики С ПЫЛУ С ЖАРУ, с курицей, 360г",189.8,94.9,,С 2023-11-29 по 2023-12-05
"Лазанья ЗОЛОТОЙ ПЕТУШОК, мясная, 370г",239.8,119.9,,С 2023-11-29 по 2023-12-05
"Чебурек ЖАРЕНКИ Вкусный, с мясом, 85г",37.8,18.9,,С 2023-11-29 по 2023-12-05
"Чебупицца куриная ГОРЯЧАЯ ШТУЧКА, 250г",209.8,104.9,,С 2023-11-29 по 2023-12-05
"Хотстеры ГОРЯЧАЯ ШТУЧКА, 250г",209.8,104.9,,С 2023-11-29 по 2023-12-05
"ВАНИЛИН Кристаллический (Саратов Лавр), 1г",2.7,1.8,,С 2023-11-29 по 2023-12-05
"Пюре САДЫ ПРИДОНЬЯ тыква, 80г",38.5,28.9,,С 2023-11-22 по 2023-12-05
"Кофе JACOBS Монарх растворимый сублимированный, 1,8г",17.99,12.99,-28%,С 2023-11-15 по 2023-12-12
"Кофе ЖОКЕЙ, Триумф, сублимированный, 150г",358.99,269.99,-25%,С 2023-11-15 по 2023-12-12
"Кофе JOCKEY Триумф растворимый, 95г",278.99,209.99,-25%,С 2023-11-15 по 2023-12-12
"Ягода протертая СИБИРСКАЯ ЯГОДА, Брусника, 280г",99.99,89.99,-10%,С 2023-11-15 по 2023-12-12
"Икра свекольная КУХМАСТЕР, 400г",76.99,64.99,-16%,С 2023-11-15 по 2023-12-12
"Фасоль с грибами СЕМЕЙНЫЕ СЕКРЕТЫ, 530г",119.99,99.99,-17%,С 2023-11-15 по 2023-12-12
"Индейка СТОЛЕТОВСКИЙ МД тушеная ГОСТ, 325г",149.99,129.99,-13%,С 2023-11-15 по 2023-12-12
"Закуска МАГНИТ Венгерская, 520г",119.99,99.99,-17%,С 2023-11-15 по 2023-12-12
"Плов МАГНИТ Узбекский с говядиной, 325г",129.99,109.99,-15%,С 2023-11-15 по 2023-12-12
"Чай BETA TEA черный, фруктовый микс, 90г",169.99,109.99,-35%,С 2023-11-15 по 2023-12-12
"Пюре САДЫ ПРИДОНЬЯ кабачок, 80г",38.5,28.9,,С 2023-11-22 по 2023-12-05
